Joshua 19:35	And the fenced cities [are] Ziddim, Zer, and Hammath, Rakkath, and Chinnereth,
Joshua 19:36	And Adamah, and Ramah, and Hazor,
Joshua 19:37	And Kedesh, and Edrei, and Enhazor,
Joshua 19:38	And Iron, and Migdalel, Horem, and Bethanath, and Bethshemesh; nineteen cities with their villages.
Joshua 19:39	This [is] the inheritance of the tribe of the children of Naphtali according to their families, the cities and their villages.
Joshua 19:40	[And] the seventh lot came out for the tribe of the children of Dan according to their families.
Joshua 19:41	And the coast of their inheritance was Zorah, and Eshtaol, and Irshemesh,
Joshua 19:42	And Shaalabbin, and Ajalon, and Jethlah,
Joshua 19:43	And Elon, and Thimnathah, and Ekron,
Joshua 19:44	And Eltekeh, and Gibbethon, and Baalath,
Joshua 19:45	And Jehud, and Beneberak, and Gathrimmon,
Joshua 19:46	And Mejarkon, and Rakkon, with the border before Japho.
Joshua 19:47	And the coast of the children of Dan went out [too little] for them: therefore the children of Dan went up to fight against Leshem, and took it, and smote it with the edge of the sword, and possessed it, and dwelt therein, and called Leshem, Dan, after the name of Dan their father.
Joshua 19:48	This [is] the inheritance of the tribe of the children of Dan according to their families, these cities with their villages.
Joshua 19:49	When they had made an end of dividing the land for inheritance by their coasts, the children of Israel gave an inheritance to Joshua the son of Nun among them:
Joshua 19:50	According to the word of the LORD they gave him the city which he asked, [even] Timnathserah in mount Ephraim: and he built the city, and dwelt therein.
Joshua 19:51	These [are] the inheritances, which Eleazar the priest, and Joshua the son of Nun, and the heads of the fathers of the tribes of the children of Israel, divided for an inheritance by lot in Shiloh before the LORD, at the door of the tabernacle of the congregation. So they made an end of dividing the country.
Joshua 20:1	The LORD also spake unto Joshua, saying,
Joshua 20:2	Speak to the children of Israel, saying, Appoint out for you cities of refuge, whereof I spake unto you by the hand of Moses:
Joshua 20:3	That the slayer that killeth [any] person unawares [and] unwittingly may flee thither: and they shall be your refuge from the avenger of blood.
Joshua 20:4	And when he that doth flee unto one of those cities shall stand at the entering of the gate of the city, and shall declare his cause in the ears of the elders of that city, they shall take him into the city unto them, and give him a place, that he may dwell among them.
Joshua 20:5	And if the avenger of blood pursue after him, then they shall not deliver the slayer up into his hand; because he smote his neighbour unwittingly, and hated him not beforetime.
Joshua 20:6	And he shall dwell in that city, until he stand before the congregation for judgment, [and] until the death of the high priest that shall be in those days: then shall the slayer return, and come unto his own city, and unto his own house, unto the city from whence he fled.
Joshua 20:7	And they appointed Kedesh in Galilee in mount Naphtali, and Shechem in mount Ephraim, and Kirjatharba, which [is] Hebron, in the mountain of Judah.
Joshua 20:8	And on the other side Jordan by Jericho eastward, they assigned Bezer in the wilderness upon the plain out of the tribe of Reuben, and Ramoth in Gilead out of the tribe of Gad, and Golan in Bashan out of the tribe of Manasseh.
Joshua 20:9	These were the cities appointed for all the children of Israel, and for the stranger that sojourneth among them, that whosoever killeth [any] person at unawares might flee thither, and not die by the hand of the avenger of blood, until he stood before the congregation.
Joshua 21:1	Then came near the heads of the fathers of the Levites unto Eleazar the priest, and unto Joshua the son of Nun, and unto the heads of the fathers of the tribes of the children of Israel;
Joshua 21:2	And they spake unto them at Shiloh in the land of Canaan, saying, The LORD commanded by the hand of Moses to give us cities to dwell in, with the suburbs thereof for our cattle.
Joshua 21:3	And the children of Israel gave unto the Levites out of their inheritance, at the commandment of the LORD, these cities and their suburbs.
Joshua 21:4	And the lot came out for the families of the Kohathites: and the children of Aaron the priest, [which were] of the Levites, had by lot out of the tribe of Judah, and out of the tribe of Simeon, and out of the tribe of Benjamin, thirteen cities.
Joshua 21:5	And the rest of the children of Kohath [had] by lot out of the families of the tribe of Ephraim, and out of the tribe of Dan, and out of the half tribe of Manasseh, ten cities.
Joshua 21:6	And the children of Gershon [had] by lot out of the families of the tribe of Issachar, and out of the tribe of Asher, and out of the tribe of Naphtali, and out of the half tribe of Manasseh in Bashan, thirteen cities.
Joshua 21:7	The children of Merari by their families [had] out of the tribe of Reuben, and out of the tribe of Gad, and out of the tribe of Zebulun, twelve cities.
Joshua 21:8	And the children of Israel gave by lot unto the Levites these cities with their suburbs, as the LORD commanded by the hand of Moses.
Joshua 21:9	And they gave out of the tribe of the children of Judah, and out of the tribe of the children of Simeon, these cities which are [here] mentioned by name,
Joshua 21:10	Which the children of Aaron, [being] of the families of the Kohathites, [who were] of the children of Levi, had: for theirs was the first lot.
Joshua 21:11	And they gave them the city of Arba the father of Anak, which [city is] Hebron, in the hill [country] of Judah, with the suburbs thereof round about it.
Joshua 21:12	But the fields of the city, and the villages thereof, gave they to Caleb the son of Jephunneh for his possession.
Joshua 21:13	Thus they gave to the children of Aaron the priest Hebron with her suburbs, [to be] a city of refuge for the slayer; and Libnah with her suburbs,
Joshua 21:14	And Jattir with her suburbs, and Eshtemoa with her suburbs,
Joshua 21:15	And Holon with her suburbs, and Debir with her suburbs,
Joshua 21:16	And Ain with her suburbs, and Juttah with her suburbs, [and] Bethshemesh with her suburbs; nine cities out of those two tribes.
Joshua 21:17	And out of the tribe of Benjamin, Gibeon with her suburbs, Geba with her suburbs,
Joshua 21:18	Anathoth with her suburbs, and Almon with her suburbs; four cities.
Joshua 21:19	All the cities of the children of Aaron, the priests, [were] thirteen cities with their suburbs.
Joshua 21:20	And the families of the children of Kohath, the Levites which remained of the children of Kohath, even they had the cities of their lot out of the tribe of Ephraim.
Joshua 21:21	For they gave them Shechem with her suburbs in mount Ephraim, [to be] a city of refuge for the slayer; and Gezer with her suburbs,
Joshua 21:22	And Kibzaim with her suburbs, and Bethhoron with her suburbs; four cities.
Joshua 21:23	And out of the tribe of Dan, Eltekeh with her suburbs, Gibbethon with her suburbs,
Joshua 21:24	Aijalon with her suburbs, Gathrimmon with her suburbs; four cities.
Joshua 21:25	And out of the half tribe of Manasseh, Tanach with her suburbs, and Gathrimmon with her suburbs; two cities.
Joshua 21:26	All the cities [were] ten with their suburbs for the families of the children of Kohath that remained.
Joshua 21:27	And unto the children of Gershon, of the families of the Levites, out of the [other] half tribe of Manasseh [they gave] Golan in Bashan with her suburbs, [to be] a city of refuge for the slayer; and Beeshterah with her suburbs; two cities.
Joshua 21:28	And out of the tribe of Issachar, Kishon with her suburbs, Dabareh with her suburbs,
Joshua 21:29	Jarmuth with her suburbs, Engannim with her suburbs; four cities.
Joshua 21:30	And out of the tribe of Asher, Mishal with her suburbs, Abdon with her suburbs,
Joshua 21:31	Helkath with her suburbs, and Rehob with her suburbs; four cities.
Joshua 21:32	And out of the tribe of Naphtali, Kedesh in Galilee with her suburbs, [to be] a city of refuge for the slayer; and Hammothdor with her suburbs, and Kartan with her suburbs; three cities.
Joshua 21:33	All the cities of the Gershonites according to their families [were] thirteen cities with their suburbs.
Joshua 21:34	And unto the families of the children of Merari, the rest of the Levites, out of the tribe of Zebulun, Jokneam with her suburbs, and Kartah with her suburbs,
Joshua 21:35	Dimnah with her suburbs, Nahalal with her suburbs; four cities.
Joshua 21:36	And out of the tribe of Reuben, Bezer with her suburbs, and Jahazah with her suburbs,
Joshua 21:37	Kedemoth with her suburbs, and Mephaath with her suburbs; four cities.
Joshua 21:38	And out of the tribe of Gad, Ramoth in Gilead with her suburbs, [to be] a city of refuge for the slayer; and Mahanaim with her suburbs,
Joshua 21:39	Heshbon with her suburbs, Jazer with her suburbs; four cities in all.
Joshua 21:40	So all the cities for the children of Merari by their families, which were remaining of the families of the Levites, were [by] their lot twelve cities.
Joshua 21:41	All the cities of the Levites within the possession of the children of Israel [were] forty and eight cities with their suburbs.
Joshua 21:42	These cities were every one with their suburbs round about them: thus [were] all these cities.
Joshua 21:43	And the LORD gave unto Israel all the land which he sware to give unto their fathers; and they possessed it, and dwelt therein.
Joshua 21:44	And the LORD gave them rest round about, according to all that he sware unto their fathers: and there stood not a man of all their enemies before them; the LORD delivered all their enemies into their hand.
Joshua 21:45	There failed not ought of any good thing which the LORD had spoken unto the house of Israel; all came to pass.
Joshua 22:1	Then Joshua called the Reubenites, and the Gadites, and the half tribe of Manasseh,
Joshua 22:2	And said unto them, Ye have kept all that Moses the servant of the LORD commanded you, and have obeyed my voice in all that I commanded you:
Joshua 22:3	Ye have not left your brethren these many days unto this day, but have kept the charge of the commandment of the LORD your God.
Joshua 22:4	And now the LORD your God hath given rest unto your brethren, as he promised them: therefore now return ye, and get you unto your tents, [and] unto the land of your possession, which Moses the servant of the LORD gave you on the other side Jordan.
Joshua 22:5	But take diligent heed to do the commandment and the law, which Moses the servant of the LORD charged you, to love the LORD your God, and to walk in all his ways, and to keep his commandments, and to cleave unto him, and to serve him with all your heart and with all your soul.
Joshua 22:6	So Joshua blessed them, and sent them away: and they went unto their tents.
Joshua 22:7	Now to the [one] half of the tribe of Manasseh Moses had given [possession] in Bashan: but unto the [other] half thereof gave Joshua among their brethren on this side Jordan westward. And when Joshua sent them away also unto their tents, then he blessed them,
Joshua 22:8	And he spake unto them, saying, Return with much riches unto your tents, and with very much cattle, with silver, and with gold, and with brass, and with iron, and with very much raiment: divide the spoil of your enemies with your brethren.
Joshua 22:9	And the children of Reuben and the children of Gad and the half tribe of Manasseh returned, and departed from the children of Israel out of Shiloh, which [is] in the land of Canaan, to go unto the country of Gilead, to the land of their possession, whereof they were possessed, according to the word of the LORD by the hand of Moses.
Joshua 22:10	And when they came unto the borders of Jordan, that [are] in the land of Canaan, the children of Reuben and the children of Gad and the half tribe of Manasseh built there an altar by Jordan, a great altar to see to.
Joshua 22:11	And the children of Israel heard say, Behold, the children of Reuben and the children of Gad and the half tribe of Manasseh have built an altar over against the land of Canaan, in the borders of Jordan, at the passage of the children of Israel.
Joshua 22:12	And when the children of Israel heard [of it], the whole congregation of the children of Israel gathered themselves together at Shiloh, to go up to war against them.
Joshua 22:13	And the children of Israel sent unto the children of Reuben, and to the children of Gad, and to the half tribe of Manasseh, into the land of Gilead, Phinehas the son of Eleazar the priest,
Joshua 22:14	And with him ten princes, of each chief house a prince throughout all the tribes of Israel; and each one [was] an head of the house of their fathers among the thousands of Israel.
Joshua 22:15	And they came unto the children of Reuben, and to the children of Gad, and to the half tribe of Manasseh, unto the land of Gilead, and they spake with them, saying,
Joshua 22:16	Thus saith the whole congregation of the LORD, What trespass [is] this that ye have committed against the God of Israel, to turn away this day from following the LORD, in that ye have builded you an altar, that ye might rebel this day against the LORD?
Joshua 22:17	[Is] the iniquity of Peor too little for us, from which we are not cleansed until this day, although there was a plague in the congregation of the LORD,
Joshua 22:18	But that ye must turn away this day from following the LORD? and it will be, [seeing] ye rebel to day against the LORD, that to morrow he will be wroth with the whole congregation of Israel.
Joshua 22:19	Notwithstanding, if the land of your possession [be] unclean, [then] pass ye over unto the land of the possession of the LORD, wherein the LORD’S tabernacle dwelleth, and take possession among us: but rebel not against the LORD, nor rebel against us, in building you an altar beside the altar of the LORD our God.
Joshua 22:20	Did not Achan the son of Zerah commit a trespass in the accursed thing, and wrath fell on all the congregation of Israel? and that man perished not alone in his iniquity.
Joshua 22:21	Then the children of Reuben and the children of Gad and the half tribe of Manasseh answered, and said unto the heads of the thousands of Israel,
Joshua 22:22	The LORD God of gods, the LORD God of gods, he knoweth, and Israel he shall know; if [it be] in rebellion, or if in transgression against the LORD, (save us not this day,)
Joshua 22:23	That we have built us an altar to turn from following the LORD, or if to offer thereon burnt offering or meat offering, or if to offer peace offerings thereon, let the LORD himself require [it];
Joshua 22:24	And if we have not [rather] done it for fear of [this] thing, saying, In time to come your children might speak unto our children, saying, What have ye to do with the LORD God of Israel?
Joshua 22:25	For the LORD hath made Jordan a border between us and you, ye children of Reuben and children of Gad; ye have no part in the LORD: so shall your children make our children cease from fearing the LORD.
Joshua 22:26	Therefore we said, Let us now prepare to build us an altar, not for burnt offering, nor for sacrifice:
Joshua 22:27	But [that] it [may be] a witness between us, and you, and our generations after us, that we might do the service of the LORD before him with our burnt offerings, and with our sacrifices, and with our peace offerings; that your children may not say to our children in time to come, Ye have no part in the LORD.
Joshua 22:28	Therefore said we, that it shall be, when they should [so] say to us or to our generations in time to come, that we may say [again], Behold the pattern of the altar of the LORD, which our fathers made, not for burnt offerings, nor for sacrifices; but it [is] a witness between us and you.
Joshua 22:29	God forbid that we should rebel against the LORD, and turn this day from following the LORD, to build an altar for burnt offerings, for meat offerings, or for sacrifices, beside the altar of the LORD our God that [is] before his tabernacle.
Joshua 22:30	And when Phinehas the priest, and the princes of the congregation and heads of the thousands of Israel which [were] with him, heard the words that the children of Reuben and the children of Gad and the children of Manasseh spake, it pleased them.
