Psalm 47:3	He shall subdue the people under us, and the nations under our feet.
Psalm 47:4	He shall choose our inheritance for us, the excellency of Jacob whom he loved. Selah.
Psalm 47:5	God is gone up with a shout, the LORD with the sound of a trumpet.
Psalm 47:6	Sing praises to God, sing praises: sing praises unto our King, sing praises.
Psalm 47:7	For God [is] the King of all the earth: sing ye praises with understanding.
Psalm 47:8	God reigneth over the heathen: God sitteth upon the throne of his holiness.
Psalm 47:9	The princes of the people are gathered together, [even] the people of the God of Abraham: for the shields of the earth [belong] unto God: he is greatly exalted.
Psalm 48:1	A Song [and] Psalm for the sons of Korah. Great [is] the LORD, and greatly to be praised in the city of our God, [in] the mountain of his holiness.
Psalm 48:2	Beautiful for situation, the joy of the whole earth, [is] mount Zion, [on] the sides of the north, the city of the great King.
Psalm 48:3	God is known in her palaces for a refuge.
Psalm 48:4	For, lo, the kings were assembled, they passed by together.
Psalm 48:5	They saw [it, and] so they marvelled; they were troubled, [and] hasted away.
Psalm 48:6	Fear took hold upon them there, [and] pain, as of a woman in travail.
Psalm 48:7	Thou breakest the ships of Tarshish with an east wind.
Psalm 48:8	As we have heard, so have we seen in the city of the LORD of hosts, in the city of our God: God will establish it for ever. Selah.
Psalm 48:9	We have thought of thy lovingkindness, O God, in the midst of thy temple.
Psalm 48:10	According to thy name, O God, so [is] thy praise unto the ends of the earth: thy right hand is full of righteousness.
Psalm 48:11	Let mount Zion rejoice, let the daughters of Judah be glad, because of thy judgments.
Psalm 48:12	Walk about Zion, and go round about her: tell the towers thereof.
Psalm 48:13	Mark ye well her bulwarks, consider her palaces; that ye may tell [it] to the generation following.
Psalm 48:14	For this God [is] our God for ever and ever: he will be our guide [even] unto death.
Psalm 49:1	To the chief Musician, A Psalm for the sons of Korah. Hear this, all [ye] people; give ear, all [ye] inhabitants of the world:
Psalm 49:2	Both low and high, rich and poor, together.
Psalm 49:3	My mouth shall speak of wisdom; and the meditation of my heart [shall be] of understanding.
Psalm 49:4	I will incline mine ear to a parable: I will open my dark saying upon the harp.
Psalm 49:5	Wherefore should I fear in the days of evil, [when] the iniquity of my heels shall compass me about?
Psalm 49:6	They that trust in their wealth, and boast themselves in the multitude of their riches;
Psalm 49:7	None [of them] can by any means redeem his brother, nor give to God a ransom for him:
Psalm 49:8	(For the redemption of their soul [is] precious, and it ceaseth for ever:)
Psalm 49:9	That he should still live for ever, [and] not see corruption.
Psalm 49:10	For he seeth [that] wise men die, likewise the fool and the brutish person perish, and leave their wealth to others.
Psalm 49:11	Their inward thought [is, that] their houses [shall continue] for ever, [and] their dwelling places to all generations; they call [their] lands after their own names.
Psalm 49:12	Nevertheless man [being] in honour abideth not: he is like the beasts [that] perish.
Psalm 49:13	This their way [is] their folly: yet their posterity approve their sayings. Selah.
Psalm 49:14	Like sheep they are laid in the grave; death shall feed on them; and the upright shall have dominion over them in the morning; and their beauty shall consume in the grave from their dwelling.
Psalm 49:15	But God will redeem my soul from the power of the grave: for he shall receive me. Selah.
Psalm 49:16	Be not thou afraid when one is made rich, when the glory of his house is increased;
Psalm 49:17	For when he dieth he shall carry nothing away: his glory shall not descend after him.
Psalm 49:18	Though while he lived he blessed his soul: and [men] will praise thee, when thou doest well to thyself.
Psalm 49:19	He shall go to the generation of his fathers; they shall never see light.
Psalm 49:20	Man [that is] in honour, and understandeth not, is like the beasts [that] perish.
Psalm 50:1	A Psalm of Asaph. The mighty God, [even] the LORD, hath spoken, and called the earth from the rising of the sun unto the going down thereof.
Psalm 50:2	Out of Zion, the perfection of beauty, God hath shined.
Psalm 50:3	Our God shall come, and shall not keep silence: a fire shall devour before him, and it shall be very tempestuous round about him.
Psalm 50:4	He shall call to the heavens from above, and to the earth, that he may judge his people.
Psalm 50:5	Gather my saints together unto me; those that have made a covenant with me by sacrifice.
Psalm 50:6	And the heavens shall declare his righteousness: for God [is] judge himself. Selah.
Psalm 50:7	Hear, O my people, and I will speak; O Israel, and I will testify against thee: I [am] God, [even] thy God.
Psalm 50:8	I will not reprove thee for thy sacrifices or thy burnt offerings, [to have been] continually before me.
Psalm 50:9	I will take no bullock out of thy house, [nor] he goats out of thy folds.
Psalm 50:10	For every beast of the forest [is] mine, [and] the cattle upon a thousand hills.
Psalm 50:11	I know all the fowls of the mountains: and the wild beasts of the field [are] mine.
Psalm 50:12	If I were hungry, I would not tell thee: for the world [is] mine, and the fulness thereof.
Psalm 50:13	Will I eat the flesh of bulls, or drink the blood of goats?
Psalm 50:14	Offer unto God thanksgiving; and pay thy vows unto the most High:
Psalm 50:15	And call upon me in the day of trouble: I will deliver thee, and thou shalt glorify me.
Psalm 50:16	But unto the wicked God saith, What hast thou to do to declare my statutes, or [that] thou shouldest take my covenant in thy mouth?
Psalm 50:17	Seeing thou hatest instruction, and castest my words behind thee.
