Genesis 31:15	Are we not counted of him strangers? for he hath sold us, and hath quite devoured also our money.
Genesis 31:16	For all the riches which God hath taken from our father, that [is] ours, and our children’s: now then, whatsoever God hath said unto thee, do.
Genesis 31:17	Then Jacob rose up, and set his sons and his wives upon camels;
Genesis 31:18	And he carried away all his cattle, and all his goods which he had gotten, the cattle of his getting, which he had gotten in Padanaram, for to go to Isaac his father in the land of Canaan.
Genesis 31:19	And Laban went to shear his sheep: and Rachel had stolen the images that [were] her father’s.
Genesis 31:20	And Jacob stole away unawares to Laban the Syrian, in that he told him not that he fled.
Genesis 31:21	So he fled with all that he had; and he rose up, and passed over the river, and set his face [toward] the mount Gilead.
Genesis 31:22	And it was told Laban on the third day that Jacob was fled.
Genesis 31:23	And he took his brethren with him, and pursued after him seven days’ journey; and they overtook him in the mount Gilead.
Genesis 31:24	And God came to Laban the Syrian in a dream by night, and said unto him, Take heed that thou speak not to Jacob either good or bad.
Genesis 31:25	Then Laban overtook Jacob. Now Jacob had pitched his tent in the mount: and Laban with his brethren pitched in the mount of Gilead.
Genesis 31:26	And Laban said to Jacob, What hast thou done, that thou hast stolen away unawares to me, and carried away my daughters, as captives [taken] with the sword?
Genesis 31:27	Wherefore didst thou flee away secretly, and steal away from me; and didst not tell me, that I might have sent thee away with mirth, and with songs, with tabret, and with harp?
Genesis 31:28	And hast not suffered me to kiss my sons and my daughters? thou hast now done foolishly in [so] doing.
Genesis 31:29	It is in the power of my hand to do you hurt: but the God of your father spake unto me yesternight, saying, Take thou heed that thou speak not to Jacob either good or bad.
Genesis 31:30	And now, [though] thou wouldest needs be gone, because thou sore longedst after thy father’s house, [yet] wherefore hast thou stolen my gods?
Genesis 31:31	And Jacob answered and said to Laban, Because I was afraid: for I said, Peradventure thou wouldest take by force thy daughters from me.
Genesis 31:32	With whomsoever thou findest thy gods, let him not live: before our brethren discern thou what [is] thine with me, and take [it] to thee. For Jacob knew not that Rachel had stolen them.
Genesis 31:33	And Laban went into Jacob’s tent, and into Leah’s tent, and into the two maidservants’ tents; but he found [them] not. Then went he out of Leah’s tent, and entered into Rachel’s tent.
Genesis 31:34	Now Rachel had taken the images, and put them in the camel’s furniture, and sat upon them. And Laban searched all the tent, but found [them] not.
Genesis 31:35	And she said to her father, Let it not displease my lord that I cannot rise up before thee; for the custom of women [is] upon me. And he searched, but found not the images.
Genesis 31:36	And Jacob was wroth, and chode with Laban: and Jacob answered and said to Laban, What [is] my trespass? what [is] my sin, that thou hast so hotly pursued after me?
Genesis 31:37	Whereas thou hast searched all my stuff, what hast thou found of all thy household stuff? set [it] here before my brethren and thy brethren, that they may judge betwixt us both.
Genesis 31:38	This twenty years [have] I [been] with thee; thy ewes and thy she goats have not cast their young, and the rams of thy flock have I not eaten.
Genesis 31:39	That which was torn [of beasts] I brought not unto thee; I bare the loss of it; of my hand didst thou require it, [whether] stolen by day, or stolen by night.
Genesis 31:40	[Thus] I was; in the day the drought consumed me, and the frost by night; and my sleep departed from mine eyes.
Genesis 31:41	Thus have I been twenty years in thy house; I served thee fourteen years for thy two daughters, and six years for thy cattle: and thou hast changed my wages ten times.
Genesis 31:42	Except the God of my father, the God of Abraham, and the fear of Isaac, had been with me, surely thou hadst sent me away now empty. God hath seen mine affliction and the labour of my hands, and rebuked [thee] yesternight.
Genesis 31:43	And Laban answered and said unto Jacob, [These] daughters [are] my daughters, and [these] children [are] my children, and [these] cattle [are] my cattle, and all that thou seest [is] mine: and what can I do this day unto these my daughters, or unto their children which they have born?
Genesis 31:44	Now therefore come thou, let us make a covenant, I and thou; and let it be for a witness between me and thee.
Genesis 31:45	And Jacob took a stone, and set it up [for] a pillar.
Genesis 31:46	And Jacob said unto his brethren, Gather stones; and they took stones, and made an heap: and they did eat there upon the heap.
Genesis 31:47	And Laban called it Jegarsahadutha: but Jacob called it Galeed.
Genesis 31:48	And Laban said, This heap [is] a witness between me and thee this day. Therefore was the name of it called Galeed;
Genesis 31:49	And Mizpah; for he said, The LORD watch between me and thee, when we are absent one from another.
Genesis 31:50	If thou shalt afflict my daughters, or if thou shalt take [other] wives beside my daughters, no man [is] with us; see, God [is] witness betwixt me and thee.
Genesis 31:51	And Laban said to Jacob, Behold this heap, and behold [this] pillar, which I have cast betwixt me and thee;
Genesis 31:52	This heap [be] witness, and [this] pillar [be] witness, that I will not pass over this heap to thee, and that thou shalt not pass over this heap and this pillar unto me, for harm.
Genesis 31:53	The God of Abraham, and the God of Nahor, the God of their father, judge betwixt us. And Jacob sware by the fear of his father Isaac.
Genesis 31:54	Then Jacob offered sacrifice upon the mount, and called his brethren to eat bread: and they did eat bread, and tarried all night in the mount.
Genesis 31:55	And early in the morning Laban rose up, and kissed his sons and his daughters, and blessed them: and Laban departed, and returned unto his place.
Genesis 32:1	And Jacob went on his way, and the angels of God met him.
Genesis 32:2	And when Jacob saw them, he said, This [is] God’s host: and he called the name of that place Mahanaim.
Genesis 32:3	And Jacob sent messengers before him to Esau his brother unto the land of Seir, the country of Edom.
Genesis 32:4	And he commanded them, saying, Thus shall ye speak unto my lord Esau; Thy servant Jacob saith thus, I have sojourned with Laban, and stayed there until now:
Genesis 32:5	And I have oxen, and asses, flocks, and menservants, and womenservants: and I have sent to tell my lord, that I may find grace in thy sight.
