Zechariah 2:1	I lifted up mine eyes again, and looked, and behold a man with a measuring line in his hand.
Zechariah 2:2	Then said I, Whither goest thou? And he said unto me, To measure Jerusalem, to see what [is] the breadth thereof, and what [is] the length thereof.
Zechariah 2:3	And, behold, the angel that talked with me went forth, and another angel went out to meet him,
Zechariah 2:4	And said unto him, Run, speak to this young man, saying, Jerusalem shall be inhabited [as] towns without walls for the multitude of men and cattle therein:
Zechariah 2:5	For I, saith the LORD, will be unto her a wall of fire round about, and will be the glory in the midst of her.
Zechariah 2:6	Ho, ho, [come forth], and flee from the land of the north, saith the LORD: for I have spread you abroad as the four winds of the heaven, saith the LORD.
Zechariah 2:7	Deliver thyself, O Zion, that dwellest [with] the daughter of Babylon.
Zechariah 2:8	For thus saith the LORD of hosts; After the glory hath he sent me unto the nations which spoiled you: for he that toucheth you toucheth the apple of his eye.
Zechariah 2:9	For, behold, I will shake mine hand upon them, and they shall be a spoil to their servants: and ye shall know that the LORD of hosts hath sent me.
Zechariah 2:10	Sing and rejoice, O daughter of Zion: for, lo, I come, and I will dwell in the midst of thee, saith the LORD.
Zechariah 2:11	And many nations shall be joined to the LORD in that day, and shall be my people: and I will dwell in the midst of thee, and thou shalt know that the LORD of hosts hath sent me unto thee.
Zechariah 2:12	And the LORD shall inherit Judah his portion in the holy land, and shall choose Jerusalem again.
Zechariah 2:13	Be silent, O all flesh, before the LORD: for he is raised up out of his holy habitation.
Zechariah 3:1	And he shewed me Joshua the high priest standing before the angel of the LORD, and Satan standing at his right hand to resist him.
Zechariah 3:2	And the LORD said unto Satan, The LORD rebuke thee, O Satan; even the LORD that hath chosen Jerusalem rebuke thee: [is] not this a brand plucked out of the fire?
Zechariah 3:3	Now Joshua was clothed with filthy garments, and stood before the angel.
Zechariah 3:4	And he answered and spake unto those that stood before him, saying, Take away the filthy garments from him. And unto him he said, Behold, I have caused thine iniquity to pass from thee, and I will clothe thee with change of raiment.
Zechariah 3:5	And I said, Let them set a fair mitre upon his head. So they set a fair mitre upon his head, and clothed him with garments. And the angel of the LORD stood by.
Zechariah 3:6	And the angel of the LORD protested unto Joshua, saying,
Zechariah 3:7	Thus saith the LORD of hosts; If thou wilt walk in my ways, and if thou wilt keep my charge, then thou shalt also judge my house, and shalt also keep my courts, and I will give thee places to walk among these that stand by.
