Zechariah 7:8	And the word of the LORD came unto Zechariah, saying,
Zechariah 7:9	Thus speaketh the LORD of hosts, saying, Execute true judgment, and shew mercy and compassions every man to his brother:
Zechariah 7:10	And oppress not the widow, nor the fatherless, the stranger, nor the poor; and let none of you imagine evil against his brother in your heart.
Zechariah 7:11	But they refused to hearken, and pulled away the shoulder, and stopped their ears, that they should not hear.
Zechariah 7:12	Yea, they made their hearts [as] an adamant stone, lest they should hear the law, and the words which the LORD of hosts hath sent in his spirit by the former prophets: therefore came a great wrath from the LORD of hosts.
Zechariah 7:13	Therefore it is come to pass, [that] as he cried, and they would not hear; so they cried, and I would not hear, saith the LORD of hosts:
Zechariah 7:14	But I scattered them with a whirlwind among all the nations whom they knew not. Thus the land was desolate after them, that no man passed through nor returned: for they laid the pleasant land desolate.
Zechariah 8:1	Again the word of the LORD of hosts came [to me], saying,
Zechariah 8:2	Thus saith the LORD of hosts; I was jealous for Zion with great jealousy, and I was jealous for her with great fury.
Zechariah 8:3	Thus saith the LORD; I am returned unto Zion, and will dwell in the midst of Jerusalem: and Jerusalem shall be called a city of truth; and the mountain of the LORD of hosts the holy mountain.
Zechariah 8:4	Thus saith the LORD of hosts; There shall yet old men and old women dwell in the streets of Jerusalem, and every man with his staff in his hand for very age.
Zechariah 8:5	And the streets of the city shall be full of boys and girls playing in the streets thereof.
Zechariah 8:6	Thus saith the LORD of hosts; If it be marvellous in the eyes of the remnant of this people in these days, should it also be marvellous in mine eyes? saith the LORD of hosts.
Zechariah 8:7	Thus saith the LORD of hosts; Behold, I will save my people from the east country, and from the west country;
Zechariah 8:8	And I will bring them, and they shall dwell in the midst of Jerusalem: and they shall be my people, and I will be their God, in truth and in righteousness.
Zechariah 8:9	Thus saith the LORD of hosts; Let your hands be strong, ye that hear in these days these words by the mouth of the prophets, which [were] in the day [that] the foundation of the house of the LORD of hosts was laid, that the temple might be built.
Zechariah 8:10	For before these days there was no hire for man, nor any hire for beast; neither [was there any] peace to him that went out or came in because of the affliction: for I set all men every one against his neighbour.
Zechariah 8:11	But now I [will] not [be] unto the residue of this people as in the former days, saith the LORD of hosts.
Zechariah 8:12	For the seed [shall be] prosperous; the vine shall give her fruit, and the ground shall give her increase, and the heavens shall give their dew; and I will cause the remnant of this people to possess all these [things].
Zechariah 8:13	And it shall come to pass, [that] as ye were a curse among the heathen, O house of Judah, and house of Israel; so will I save you, and ye shall be a blessing: fear not, [but] let your hands be strong.
Zechariah 8:14	For thus saith the LORD of hosts; As I thought to punish you, when your fathers provoked me to wrath, saith the LORD of hosts, and I repented not:
Zechariah 8:15	So again have I thought in these days to do well unto Jerusalem and to the house of Judah: fear ye not.
Zechariah 8:16	These [are] the things that ye shall do; Speak ye every man the truth to his neighbour; execute the judgment of truth and peace in your gates:
Zechariah 8:17	And let none of you imagine evil in your hearts against his neighbour; and love no false oath: for all these [are things] that I hate, saith the LORD.
Zechariah 8:18	And the word of the LORD of hosts came unto me, saying,
Zechariah 8:19	Thus saith the LORD of hosts; The fast of the fourth [month], and the fast of the fifth, and the fast of the seventh, and the fast of the tenth, shall be to the house of Judah joy and gladness, and cheerful feasts; therefore love the truth and peace.
Zechariah 8:20	Thus saith the LORD of hosts; [It shall] yet [come to pass], that there shall come people, and the inhabitants of many cities:
Zechariah 8:21	And the inhabitants of one [city] shall go to another, saying, Let us go speedily to pray before the LORD, and to seek the LORD of hosts: I will go also.
Zechariah 8:22	Yea, many people and strong nations shall come to seek the LORD of hosts in Jerusalem, and to pray before the LORD.
Zechariah 8:23	Thus saith the LORD of hosts; In those days [it shall come to pass], that ten men shall take hold out of all languages of the nations, even shall take hold of the skirt of him that is a Jew, saying, We will go with you: for we have heard [that] God [is] with you.
Zechariah 9:1	The burden of the word of the LORD in the land of Hadrach, and Damascus [shall be] the rest thereof: when the eyes of man, as of all the tribes of Israel, [shall be] toward the LORD.
Zechariah 9:2	And Hamath also shall border thereby; Tyrus, and Zidon, though it be very wise.
Zechariah 9:3	And Tyrus did build herself a strong hold, and heaped up silver as the dust, and fine gold as the mire of the streets.
Zechariah 9:4	Behold, the Lord will cast her out, and he will smite her power in the sea; and she shall be devoured with fire.
Zechariah 9:5	Ashkelon shall see [it], and fear; Gaza also [shall see it], and be very sorrowful, and Ekron; for her expectation shall be ashamed; and the king shall perish from Gaza, and Ashkelon shall not be inhabited.
Zechariah 9:6	And a bastard shall dwell in Ashdod, and I will cut off the pride of the Philistines.
Zechariah 9:7	And I will take away his blood out of his mouth, and his abominations from between his teeth: but he that remaineth, even he, [shall be] for our God, and he shall be as a governor in Judah, and Ekron as a Jebusite.
Zechariah 9:8	And I will encamp about mine house because of the army, because of him that passeth by, and because of him that returneth: and no oppressor shall pass through them any more: for now have I seen with mine eyes.
Zechariah 9:9	Rejoice greatly, O daughter of Zion; shout, O daughter of Jerusalem: behold, thy King cometh unto thee: he [is] just, and having salvation; lowly, and riding upon an ass, and upon a colt the foal of an ass.
Zechariah 9:10	And I will cut off the chariot from Ephraim, and the horse from Jerusalem, and the battle bow shall be cut off: and he shall speak peace unto the heathen: and his dominion [shall be] from sea [even] to sea, and from the river [even] to the ends of the earth.
Zechariah 9:11	As for thee also, by the blood of thy covenant I have sent forth thy prisoners out of the pit wherein [is] no water.
Zechariah 9:12	Turn you to the strong hold, ye prisoners of hope: even to day do I declare [that] I will render double unto thee;
Zechariah 9:13	When I have bent Judah for me, filled the bow with Ephraim, and raised up thy sons, O Zion, against thy sons, O Greece, and made thee as the sword of a mighty man.
Zechariah 9:14	And the LORD shall be seen over them, and his arrow shall go forth as the lightning: and the Lord GOD shall blow the trumpet, and shall go with whirlwinds of the south.
Zechariah 9:15	The LORD of hosts shall defend them; and they shall devour, and subdue with sling stones; and they shall drink, [and] make a noise as through wine; and they shall be filled like bowls, [and] as the corners of the altar.
Zechariah 9:16	And the LORD their God shall save them in that day as the flock of his people: for [they shall be as] the stones of a crown, lifted up as an ensign upon his land.
Zechariah 9:17	For how great [is] his goodness, and how great [is] his beauty! corn shall make the young men cheerful, and new wine the maids.
Zechariah 10:1	Ask ye of the LORD rain in the time of the latter rain; [so] the LORD shall make bright clouds, and give them showers of rain, to every one grass in the field.
Zechariah 10:2	For the idols have spoken vanity, and the diviners have seen a lie, and have told false dreams; they comfort in vain: therefore they went their way as a flock, they were troubled, because [there was] no shepherd.
Zechariah 10:3	Mine anger was kindled against the shepherds, and I punished the goats: for the LORD of hosts hath visited his flock the house of Judah, and hath made them as his goodly horse in the battle.
Zechariah 10:4	Out of him came forth the corner, out of him the nail, out of him the battle bow, out of him every oppressor together.
Zechariah 10:5	And they shall be as mighty [men], which tread down [their enemies] in the mire of the streets in the battle: and they shall fight, because the LORD [is] with them, and the riders on horses shall be confounded.
Zechariah 10:6	And I will strengthen the house of Judah, and I will save the house of Joseph, and I will bring them again to place them; for I have mercy upon them: and they shall be as though I had not cast them off: for I [am] the LORD their God, and will hear them.
Zechariah 10:7	And [they of] Ephraim shall be like a mighty [man], and their heart shall rejoice as through wine: yea, their children shall see [it], and be glad; their heart shall rejoice in the LORD.
Zechariah 10:8	I will hiss for them, and gather them; for I have redeemed them: and they shall increase as they have increased.
Zechariah 10:9	And I will sow them among the people: and they shall remember me in far countries; and they shall live with their children, and turn again.
Zechariah 10:10	I will bring them again also out of the land of Egypt, and gather them out of Assyria; and I will bring them into the land of Gilead and Lebanon; and [place] shall not be found for them.
Zechariah 10:11	And he shall pass through the sea with affliction, and shall smite the waves in the sea, and all the deeps of the river shall dry up: and the pride of Assyria shall be brought down, and the sceptre of Egypt shall depart away.
Zechariah 10:12	And I will strengthen them in the LORD; and they shall walk up and down in his name, saith the LORD.
Zechariah 11:1	Open thy doors, O Lebanon, that the fire may devour thy cedars.
Zechariah 11:2	Howl, fir tree; for the cedar is fallen; because the mighty are spoiled: howl, O ye oaks of Bashan; for the forest of the vintage is come down.
Zechariah 11:3	[There is] a voice of the howling of the shepherds; for their glory is spoiled: a voice of the roaring of young lions; for the pride of Jordan is spoiled.
Zechariah 11:4	Thus saith the LORD my God; Feed the flock of the slaughter;
Zechariah 11:5	Whose possessors slay them, and hold themselves not guilty: and they that sell them say, Blessed [be] the LORD; for I am rich: and their own shepherds pity them not.
Zechariah 11:6	For I will no more pity the inhabitants of the land, saith the LORD: but, lo, I will deliver the men every one into his neighbour’s hand, and into the hand of his king: and they shall smite the land, and out of their hand I will not deliver [them].
Zechariah 11:7	And I will feed the flock of slaughter, [even] you, O poor of the flock. And I took unto me two staves; the one I called Beauty, and the other I called Bands; and I fed the flock.
Zechariah 11:8	Three shepherds also I cut off in one month; and my soul lothed them, and their soul also abhorred me.
Zechariah 11:9	Then said I, I will not feed you: that that dieth, let it die; and that that is to be cut off, let it be cut off; and let the rest eat every one the flesh of another.
Zechariah 11:10	And I took my staff, [even] Beauty, and cut it asunder, that I might break my covenant which I had made with all the people.
Zechariah 11:11	And it was broken in that day: and so the poor of the flock that waited upon me knew that it [was] the word of the LORD.
Zechariah 11:12	And I said unto them, If ye think good, give [me] my price; and if not, forbear. So they weighed for my price thirty [pieces] of silver.
Zechariah 11:13	And the LORD said unto me, Cast it unto the potter: a goodly price that I was prised at of them. And I took the thirty [pieces] of silver, and cast them to the potter in the house of the LORD.
Zechariah 11:14	Then I cut asunder mine other staff, [even] Bands, that I might break the brotherhood between Judah and Israel.
Zechariah 11:15	And the LORD said unto me, Take unto thee yet the instruments of a foolish shepherd.
Zechariah 11:16	For, lo, I will raise up a shepherd in the land, [which] shall not visit those that be cut off, neither shall seek the young one, nor heal that that is broken, nor feed that that standeth still: but he shall eat the flesh of the fat, and tear their claws in pieces.
Zechariah 11:17	Woe to the idol shepherd that leaveth the flock! the sword [shall be] upon his arm, and upon his right eye: his arm shall be clean dried up, and his right eye shall be utterly darkened.
Zechariah 12:1	The burden of the word of the LORD for Israel, saith the LORD, which stretcheth forth the heavens, and layeth the foundation of the earth, and formeth the spirit of man within him.
Zechariah 12:2	Behold, I will make Jerusalem a cup of trembling unto all the people round about, when they shall be in the siege both against Judah [and] against Jerusalem.
Zechariah 12:3	And in that day will I make Jerusalem a burdensome stone for all people: all that burden themselves with it shall be cut in pieces, though all the people of the earth be gathered together against it.
Zechariah 12:4	In that day, saith the LORD, I will smite every horse with astonishment, and his rider with madness: and I will open mine eyes upon the house of Judah, and will smite every horse of the people with blindness.
Zechariah 12:5	And the governors of Judah shall say in their heart, The inhabitants of Jerusalem [shall be] my strength in the LORD of hosts their God.
Zechariah 12:6	In that day will I make the governors of Judah like an hearth of fire among the wood, and like a torch of fire in a sheaf; and they shall devour all the people round about, on the right hand and on the left: and Jerusalem shall be inhabited again in her own place, [even] in Jerusalem.
Zechariah 12:7	The LORD also shall save the tents of Judah first, that the glory of the house of David and the glory of the inhabitants of Jerusalem do not magnify [themselves] against Judah.
Zechariah 12:8	In that day shall the LORD defend the inhabitants of Jerusalem; and he that is feeble among them at that day shall be as David; and the house of David [shall be] as God, as the angel of the LORD before them.
Zechariah 12:9	And it shall come to pass in that day, [that] I will seek to destroy all the nations that come against Jerusalem.
Zechariah 12:10	And I will pour upon the house of David, and upon the inhabitants of Jerusalem, the spirit of grace and of supplications: and they shall look upon me whom they have pierced, and they shall mourn for him, as one mourneth for [his] only [son], and shall be in bitterness for him, as one that is in bitterness for [his] firstborn.
Zechariah 12:11	In that day shall there be a great mourning in Jerusalem, as the mourning of Hadadrimmon in the valley of Megiddon.
Zechariah 12:12	And the land shall mourn, every family apart; the family of the house of David apart, and their wives apart; the family of the house of Nathan apart, and their wives apart;
Zechariah 12:13	The family of the house of Levi apart, and their wives apart; the family of Shimei apart, and their wives apart;
Zechariah 12:14	All the families that remain, every family apart, and their wives apart.
Zechariah 13:1	In that day there shall be a fountain opened to the house of David and to the inhabitants of Jerusalem for sin and for uncleanness.
Zechariah 13:2	And it shall come to pass in that day, saith the LORD of hosts, [that] I will cut off the names of the idols out of the land, and they shall no more be remembered: and also I will cause the prophets and the unclean spirit to pass out of the land.
Zechariah 13:3	And it shall come to pass, [that] when any shall yet prophesy, then his father and his mother that begat him shall say unto him, Thou shalt not live; for thou speakest lies in the name of the LORD: and his father and his mother that begat him shall thrust him through when he prophesieth.
Zechariah 13:4	And it shall come to pass in that day, [that] the prophets shall be ashamed every one of his vision, when he hath prophesied; neither shall they wear a rough garment to deceive:
Zechariah 13:5	But he shall say, I [am] no prophet, I [am] an husbandman; for man taught me to keep cattle from my youth.
Zechariah 13:6	And [one] shall say unto him, What [are] these wounds in thine hands? Then he shall answer, [Those] with which I was wounded [in] the house of my friends.
Zechariah 13:7	Awake, O sword, against my shepherd, and against the man [that is] my fellow, saith the LORD of hosts: smite the shepherd, and the sheep shall be scattered: and I will turn mine hand upon the little ones.
Zechariah 13:8	And it shall come to pass, [that] in all the land, saith the LORD, two parts therein shall be cut off [and] die; but the third shall be left therein.
Zechariah 13:9	And I will bring the third part through the fire, and will refine them as silver is refined, and will try them as gold is tried: they shall call on my name, and I will hear them: I will say, It [is] my people: and they shall say, The LORD [is] my God.
Zechariah 14:1	Behold, the day of the LORD cometh, and thy spoil shall be divided in the midst of thee.
Zechariah 14:2	For I will gather all nations against Jerusalem to battle; and the city shall be taken, and the houses rifled, and the women ravished; and half of the city shall go forth into captivity, and the residue of the people shall not be cut off from the city.
Zechariah 14:3	Then shall the LORD go forth, and fight against those nations, as when he fought in the day of battle.
Zechariah 14:4	And his feet shall stand in that day upon the mount of Olives, which [is] before Jerusalem on the east, and the mount of Olives shall cleave in the midst thereof toward the east and toward the west, [and there shall be] a very great valley; and half of the mountain shall remove toward the north, and half of it toward the south.
Zechariah 14:5	And ye shall flee [to] the valley of the mountains; for the valley of the mountains shall reach unto Azal: yea, ye shall flee, like as ye fled from before the earthquake in the days of Uzziah king of Judah: and the LORD my God shall come, [and] all the saints with thee.
Zechariah 14:6	And it shall come to pass in that day, [that] the light shall not be clear, [nor] dark:
Zechariah 14:7	But it shall be one day which shall be known to the LORD, not day, nor night: but it shall come to pass, [that] at evening time it shall be light.
Zechariah 14:8	And it shall be in that day, [that] living waters shall go out from Jerusalem; half of them toward the former sea, and half of them toward the hinder sea: in summer and in winter shall it be.
Zechariah 14:9	And the LORD shall be king over all the earth: in that day shall there be one LORD, and his name one.
Zechariah 14:10	All the land shall be turned as a plain from Geba to Rimmon south of Jerusalem: and it shall be lifted up, and inhabited in her place, from Benjamin’s gate unto the place of the first gate, unto the corner gate, and [from] the tower of Hananeel unto the king’s winepresses.
Zechariah 14:11	And [men] shall dwell in it, and there shall be no more utter destruction; but Jerusalem shall be safely inhabited.
Zechariah 14:12	And this shall be the plague wherewith the LORD will smite all the people that have fought against Jerusalem; Their flesh shall consume away while they stand upon their feet, and their eyes shall consume away in their holes, and their tongue shall consume away in their mouth.
Zechariah 14:13	And it shall come to pass in that day, [that] a great tumult from the LORD shall be among them; and they shall lay hold every one on the hand of his neighbour, and his hand shall rise up against the hand of his neighbour.
Zechariah 14:14	And Judah also shall fight at Jerusalem; and the wealth of all the heathen round about shall be gathered together, gold, and silver, and apparel, in great abundance.
Zechariah 14:15	And so shall be the plague of the horse, of the mule, of the camel, and of the ass, and of all the beasts that shall be in these tents, as this plague.
Zechariah 14:16	And it shall come to pass, [that] every one that is left of all the nations which came against Jerusalem shall even go up from year to year to worship the King, the LORD of hosts, and to keep the feast of tabernacles.
Zechariah 14:17	And it shall be, [that] whoso will not come up of [all] the families of the earth unto Jerusalem to worship the King, the LORD of hosts, even upon them shall be no rain.
Zechariah 14:18	And if the family of Egypt go not up, and come not, that [have] no [rain]; there shall be the plague, wherewith the LORD will smite the heathen that come not up to keep the feast of tabernacles.
Zechariah 14:19	This shall be the punishment of Egypt, and the punishment of all nations that come not up to keep the feast of tabernacles.
Zechariah 14:20	In that day shall there be upon the bells of the horses, HOLINESS UNTO THE LORD; and the pots in the LORD’S house shall be like the bowls before the altar.
Zechariah 14:21	Yea, every pot in Jerusalem and in Judah shall be holiness unto the LORD of hosts: and all they that sacrifice shall come and take of them, and seethe therein: and in that day there shall be no more the Canaanite in the house of the LORD of hosts.
Malachi 1:1	The burden of the word of the LORD to Israel by Malachi.
Malachi 1:2	I have loved you, saith the LORD. Yet ye say, Wherein hast thou loved us? [Was] not Esau Jacob’s brother? saith the LORD: yet I loved Jacob,
Malachi 1:3	And I hated Esau, and laid his mountains and his heritage waste for the dragons of the wilderness.
Malachi 1:4	Whereas Edom saith, We are impoverished, but we will return and build the desolate places; thus saith the LORD of hosts, They shall build, but I will throw down; and they shall call them, The border of wickedness, and, The people against whom the LORD hath indignation for ever.
Malachi 1:5	And your eyes shall see, and ye shall say, The LORD will be magnified from the border of Israel.
Malachi 1:6	A son honoureth [his] father, and a servant his master: if then I [be] a father, where [is] mine honour? and if I [be] a master, where [is] my fear? saith the LORD of hosts unto you, O priests, that despise my name. And ye say, Wherein have we despised thy name?
Malachi 1:7	Ye offer polluted bread upon mine altar; and ye say, Wherein have we polluted thee? In that ye say, The table of the LORD [is] contemptible.
Malachi 1:8	And if ye offer the blind for sacrifice, [is it] not evil? and if ye offer the lame and sick, [is it] not evil? offer it now unto thy governor; will he be pleased with thee, or accept thy person? saith the LORD of hosts.
Malachi 1:9	And now, I pray you, beseech God that he will be gracious unto us: this hath been by your means: will he regard your persons? saith the LORD of hosts.
Malachi 1:10	Who [is there] even among you that would shut the doors [for nought]? neither do ye kindle [fire] on mine altar for nought. I have no pleasure in you, saith the LORD of hosts, neither will I accept an offering at your hand.
Malachi 1:11	For from the rising of the sun even unto the going down of the same my name [shall be] great among the Gentiles; and in every place incense [shall be] offered unto my name, and a pure offering: for my name [shall be] great among the heathen, saith the LORD of hosts.
Malachi 1:12	But ye have profaned it, in that ye say, The table of the LORD [is] polluted; and the fruit thereof, [even] his meat, [is] contemptible.
Malachi 1:13	Ye said also, Behold, what a weariness [is it]! and ye have snuffed at it, saith the LORD of hosts; and ye brought [that which was] torn, and the lame, and the sick; thus ye brought an offering: should I accept this of your hand? saith the LORD.
Malachi 1:14	But cursed [be] the deceiver, which hath in his flock a male, and voweth, and sacrificeth unto the Lord a corrupt thing: for I [am] a great King, saith the LORD of hosts, and my name [is] dreadful among the heathen.
Malachi 2:1	And now, O ye priests, this commandment [is] for you.
Malachi 2:2	If ye will not hear, and if ye will not lay [it] to heart, to give glory unto my name, saith the LORD of hosts, I will even send a curse upon you, and I will curse your blessings: yea, I have cursed them already, because ye do not lay [it] to heart.
Malachi 2:3	Behold, I will corrupt your seed, and spread dung upon your faces, [even] the dung of your solemn feasts; and [one] shall take you away with it.
Malachi 2:4	And ye shall know that I have sent this commandment unto you, that my covenant might be with Levi, saith the LORD of hosts.
Malachi 2:5	My covenant was with him of life and peace; and I gave them to him [for] the fear wherewith he feared me, and was afraid before my name.
Malachi 2:6	The law of truth was in his mouth, and iniquity was not found in his lips: he walked with me in peace and equity, and did turn many away from iniquity.
Malachi 2:7	For the priest’s lips should keep knowledge, and they should seek the law at his mouth: for he [is] the messenger of the LORD of hosts.
Malachi 2:8	But ye are departed out of the way; ye have caused many to stumble at the law; ye have corrupted the covenant of Levi, saith the LORD of hosts.
Malachi 2:9	Therefore have I also made you contemptible and base before all the people, according as ye have not kept my ways, but have been partial in the law.
Malachi 2:10	Have we not all one father? hath not one God created us? why do we deal treacherously every man against his brother, by profaning the covenant of our fathers?
Malachi 2:11	Judah hath dealt treacherously, and an abomination is committed in Israel and in Jerusalem; for Judah hath profaned the holiness of the LORD which he loved, and hath married the daughter of a strange god.
Malachi 2:12	The LORD will cut off the man that doeth this, the master and the scholar, out of the tabernacles of Jacob, and him that offereth an offering unto the LORD of hosts.
Malachi 2:13	And this have ye done again, covering the altar of the LORD with tears, with weeping, and with crying out, insomuch that he regardeth not the offering any more, or receiveth [it] with good will at your hand.
Malachi 2:14	Yet ye say, Wherefore? Because the LORD hath been witness between thee and the wife of thy youth, against whom thou hast dealt treacherously: yet [is] she thy companion, and the wife of thy covenant.
Malachi 2:15	And did not he make one? Yet had he the residue of the spirit. And wherefore one? That he might seek a godly seed. Therefore take heed to your spirit, and let none deal treacherously against the wife of his youth.
Malachi 2:16	For the LORD, the God of Israel, saith that he hateth putting away: for [one] covereth violence with his garment, saith the LORD of hosts: therefore take heed to your spirit, that ye deal not treacherously.
Malachi 2:17	Ye have wearied the LORD with your words. Yet ye say, Wherein have we wearied [him]? When ye say, Every one that doeth evil [is] good in the sight of the LORD, and he delighteth in them; or, Where [is] the God of judgment?
Malachi 3:1	Behold, I will send my messenger, and he shall prepare the way before me: and the Lord, whom ye seek, shall suddenly come to his temple, even the messenger of the covenant, whom ye delight in: behold, he shall come, saith the LORD of hosts.
Malachi 3:2	But who may abide the day of his coming? and who shall stand when he appeareth? for he [is] like a refiner’s fire, and like fullers’ soap:
Malachi 3:3	And he shall sit [as] a refiner and purifier of silver: and he shall purify the sons of Levi, and purge them as gold and silver, that they may offer unto the LORD an offering in righteousness.
Malachi 3:4	Then shall the offering of Judah and Jerusalem be pleasant unto the LORD, as in the days of old, and as in former years.
